region,itinerary_names,num_activities,total_distance_m,total_duration_sec,total_walk_distance_m,total_transfers,walk_ratio
서울 종로구,경복궁 -> 북촌한옥마을 -> 인사동 문화의거리,3,4421,1042,977.5,0,0.22110382266455553
서울 종로구,경복궁 -> 북촌한옥마을 -> 북한산둘레길 6구간평창마을길,3,9997,2014,1673.9499999999998,1,0.167445233570071
서울 종로구,경복궁 -> 북촌한옥마을 -> 창덕궁 후원,3,4308,1007,943.6,0,0.2190343546889508
서울 종로구,경복궁 -> 북촌한옥마을 -> 서촌한옥마을,3,5912,1244,1182.4,0,0.2
서울 종로구,경복궁 -> 북촌한옥마을 -> 운현궁,3,4225,1045,918.7,0,0.21744378698224853
서울 종로구,경복궁 -> 북촌한옥마을 -> 인왕산 수성동계곡,3,6851,1456,1370.2,0,0.2
서울 종로구,경복궁 -> 북촌한옥마을 -> 다이나믹메이즈 서울인사동점,3,4730,1156,1070.2,0,0.22625792811839324
서울 종로구,경복궁 -> 북촌한옥마을 -> 백사실계곡,3,8316,1489,1663.2,0,0.2
서울 종로구,경복궁 -> 북촌한옥마을 -> 이화동 벽화마을,3,6497,1471,1299.4,0,0.2
서울 종로구,경복궁 -> 창경궁 -> 창덕궁,3,4461,925,1028.9,0,0.23064335350818205
서울 종로구,경복궁 -> 창경궁 -> 북촌한옥마을,3,7185,1512,1437.0,0,0.2
서울 종로구,경복궁 -> 창경궁 -> 광화문,3,5599,1199,1119.8000000000002,0,0.20000000000000004
서울 종로구,경복궁 -> 창경궁 -> 광화문광장,3,5811,1418,1162.2,0,0.2
서울 종로구,경복궁 -> 창경궁 -> 청계천,3,6291,1615,1258.2000000000003,0,0.20000000000000004
서울 종로구,경복궁 -> 창경궁 -> 종묘,3,5713,1245,1142.6000000000001,0,0.2
서울 종로구,경복궁 -> 창경궁 -> 청와대 사랑채,3,6433,1349,1286.6000000000001,0,0.2
서울 종로구,경복궁 -> 창경궁 -> 흥인지문,3,5327,1307,1065.4,0,0.2
서울 종로구,경복궁 -> 창경궁 -> 인왕산,3,9709,1859,1611.0500000000002,1,0.16593366979091567
서울 종로구,경복궁 -> 창경궁 -> 익선동한옥거리,3,5251,1207,1050.2,0,0.2
